English,Tamil,Malayalam,Telugu,Hindi
burden,சுமை,ഭാരം,భారం,बोझ
react,எதிர்வினை,പ്രതികരിക്കുക,స్పందించలేదు,प्रतिक्रिया
chamber,அறை,അറ,గది,कक्ष
furniture,மரச்சாமான்கள்,ഫർണിച്ചറുകൾ,ఫర్నిచర్,फर्नीचर
cooperation,ஒத்துழைப்பு,സഹകരണം,సహకారం,सहयोग
string,லேசான கயிறு,സ്ട്രിംഗ്,స్ట్రింగ్,डोरी
ceremony,விழா,ചടങ്ങ്,వేడుక,समारोह
communicate,தொடர்பு,ആശയവിനിമയം നടത്തുക,సంభాషించండి,बातचीत करना
cheek,கன்னத்தில்,കവിൾ,చెంప,गाल
lost,இழந்தது,നഷ്ടപ്പെട്ടു,కోల్పోయిన,खो गया
profile,சுயவிவரம்,പ്രൊഫൈൽ,ప్రొఫైల్,प्रोफ़ाइल
mechanism,பொறிமுறை,മെക്കാനിസം,యంత్రాంగం,तंत्र
disagree,கருத்து வேறுபாடு,വിയോജിക്കുന്നു,ఏకీభవించలేదు,असहमत
penalty,தண்டம்,പിഴ,పెనాల్టీ,दंड
ie,அதாவது,അതായത്,అనగా,अर्थात
resort,உல்லாசப்போக்கிடம்,റിസോർട്ട്,రిసార్ట్,सहारा
destruction,அழிவு,നാശം,విధ్వంసం,विनाश
unlikely,சாத்தியமில்லை,സാധ്യതയില്ല,అసంభవం,संभावना नहीं
tissue,திசு,ടിഷ്യു,కణజాలం,ऊतक
constitutional,அரசியலமைப்பு,ഭരണഘടനാപരമായ,రాజ్యాంగబద్ధమైనది,संवैधानिक
pant,கால்சட்டை,പാന്റ്,ప్యాంటు,पंत
stranger,அந்நியன்,അപരിചിതൻ,అపరిచితుడు,अजनबी
infection,தொற்று,അണുബാധ,సంక్రమణ,संक्रमण
cabinet,மந்திரி சபை,കാബിനറ്റ്,మంత్రివర్గం,अलमारी
broken,உடைந்தது,തകർന്നു,విరిగిపోయింది,टूटा हुआ
apple,ஆப்பிள்,ആപ്പിൾ,ఆపిల్,सेब
electric,மின்சார,ഇലക്ട്രിക്,విద్యుత్,इलेक्ट्रिक
proceed,தொடர,തുടരുക,కొనసాగండి,आगे बढ़ना
bet,பந்தயம்,പന്തയം,పందెం,बेट
literary,இலக்கியவாதி,സാഹിത്യ,సాహిత్యపరమైన,साहित्यिक
virus,வைரஸ்,വൈറസ്,వైరస్,वायरस
stupid,முட்டாள்,മണ്ടൻ,తెలివితక్కువ,मूर्ख
dispute,சர்ச்சை,തർക്കം,వివాదం,विवाद
fortune,அதிர்ஷ்டம்,ഭാഗ്യം,అదృష్టం,भाग्य
strategic,மூலோபாய,തന്ത്രപരമായ,వ్యూహాత్మక,रणनीतिक
assistant,உதவியாளர்,സഹായി,సహాయకుడు,सहायक
overcome,கடந்து வா,മറികടക്കുക,అధిగమించటం,पर काबू पाने
remarkable,குறிப்பிடத்தக்கது,ശ്രദ്ധേയമായ,విశేషమైనది,विलक्षण
occupy,ஆக்கிரமிக்க,അധിനിവേശം,ఆక్రమిస్తాయి,पर कब्जा
statistics,புள்ளிவிவரங்கள்,സ്ഥിതിവിവരക്കണക്കുകൾ,గణాంకాలు,आंकड़े
shopping,கடையில் பொருட்கள் வாங்குதல்,ഷോപ്പിംഗ്,షాపింగ్,खरीदारी
cousin,உறவினர்,ബന്ധു,బంధువు,चचेरा
encounter,என்கவுண்டர்,ഏറ്റുമുട്ടൽ,ఎన్కౌంటర్,सामना करना
wipe,துடைக்க,തുടയ്ക്കുക,తుడవడం,पोंछना
initially,ஆரம்பத்தில்,തുടക്കത്തിൽ,ప్రారంభంలో,शुरू में
blind,குருடர்,അന്ധൻ,అంధుడు,अंधा
port,துறைமுகம்,തുറമുഖം,ఓడరేవు,पत्तन
electricity,மின்சாரம்,വൈദ്യുതി,విద్యుత్,बिजली
genetic,மரபியல்,ജനിതകമായ,జన్యుపరమైన,आनुवंशिक
adviser,ஆலோசகர்,ഉപദേശകൻ,సలహాదారు,सलाहकार
spokesman,பேச்சாளர்,വക്താവ്,ప్రతినిధి,प्रवक्ता
retain,தக்கவைத்துக்கொள்,നിലനിർത്തുക,నిలుపుకుంటారు,बनाए रखना
latter,பிந்தையது,പിന്നത്തെ,తరువాతి,बाद वाला
incentive,ஊக்கத்தொகை,പ്രോത്സാഹനം,ప్రోత్సాహకం,प्रोत्साहन
slave,அடிமை,അടിമ,బానిస,गुलाम
translate,மொழிபெயர்,വിവർത്തനം ചെയ്യുക,అనువదించు,अनुवाद
accurate,துல்லியமானது,കൃത്യമായ,ఖచ్చితమైన,शुद्ध
whereas,அதேசமயம்,അതേസമയം,కాగా,जबकि
terror,பயங்கரம்,ഭീകരത,భీభత్సం,आतंक
expansion,விரிவாக்கம்,വികാസം,విస్తరణ,विस्तार
elite,உயரடுக்கு,വരേണ്യവർഗം,ఉన్నతవర్గం,अभिजात वर्ग
Olympic,ஒலிம்பிக்,ഒളിമ്പിക്,ఒలింపిక్,ओलिंपिक
dirt,அழுக்கு,അഴുക്ക്,దుమ్ము,गंध
odd,ஒற்றைப்படை,വിചിത്രമായ,బేసి,विषम
rice,அரிசி,അരി,బియ్యం,चावल
bullet,தோட்டா,ബുള്ളറ്റ്,బుల్లెట్,गोली
tight,இறுக்கம்,ഇറുകിയ,గట్టిగా,कसा हुआ
Bible,திருவிவிலியம்,ബൈബിൾ,బైబిల్,बाइबिल
chart,விளக்கப்படம்,ചാർട്ട്,చార్ట్,चार्ट
solar,சூரிய ஒளி,സോളാർ,సౌర,सौर
square,சதுரம்,സമചതുരം Samachathuram,చతురస్రం,वर्ग
concentration,செறிவு,ഏകാഗ്രത,ఏకాగ్రత,एकाग्रता
complicated,சிக்கலான,സങ്കീർണ്ണമായ,సంక్లిష్టమైనది,उलझा हुआ
gently,மெதுவாக,സൌമ്യമായി,శాంతముగా,धीरे
champion,சாம்பியன்,ചാമ്പ്യൻ,ఛాంపియన్,चैंपियन
scenario,காட்சி,രംഗം,దృష్టాంతంలో,परिदृश्य
telescope,தொலைநோக்கி,ദൂരദർശിനി,టెలిస్కోప్,दूरबीन
reflection,பிரதிபலிப்பு,പ്രതിഫലനം,ప్రతిబింబం,प्रतिबिंब
revolution,புரட்சி,വിപ്ലവം,విప్లవం,क्रांति
strip,ஆடை அவிழ்ப்பு,സ്ട്രിപ്പ്,స్ట్రిప్,पट्टी
interpret,விளக்குவது,വ്യാഖ്യാനിക്കുക,అన్వయించు,व्याख्या
friendly,நட்பாக,സൗഹൃദം,స్నేహపూర్వక,दोस्ताना
tournament,போட்டி,ടൂർണമെന്റ്,టోర్నమెంట్,टूर्नामेंट
fiction,கற்பனை,ഫിക്ഷൻ,ఫిక్షన్,कल्पना
detect,கண்டறிய,കണ്ടുപിടിക്കുക,గుర్తించడం,पता लगाना
tremendous,பிரமாண்டமான,അതിഗംഭീരമായ,విపరీతమైన,अद्भुत
lifetime,வாழ்நாள் முழுவதும்,ജീവിതകാലം,జీవితకాలం,जीवनभर
recommendation,பரிந்துரை,ശുപാർശ,సిఫార్సు,सिफारिश
senator,செனட்டர்,സെനറ്റർ,సెనేటర్,सीनेटर
hunting,வேட்டையாடுதல்,വേട്ടയാടൽ,వేటాడు,शिकार करना
salad,சாலட்,സാലഡ്,సలాడ్,सलाद
guarantee,உத்தரவாதம்,ഗ്യാരണ്ടി,హామీ,गारंटी
innocent,அப்பாவி,നിരപരാധി,అమాయక,मासूम
boundary,எல்லை,അതിർത്തി,సరిహద్దు,सीमा
pause,இடைநிறுத்தம்,താൽക്കാലികമായി നിർത്തുക,విరామం,विराम
remote,தொலைவில்,റിമോട്ട്,రిమోట్,दूर
satisfaction,திருப்தி,സംതൃപ്തി,సంతృప్తి,संतुष्टि
journal,இதழ்,ജേണൽ,పత్రిక,पत्रिका
bench,பெஞ்ச்,ബെഞ്ച്,బెంచ్,बेंच
lover,காதலன்,കാമുകൻ,ప్రేమికుడు,प्रेम करनेवाला
raw,மூல,അസംസ്കൃത,ముడి,कच्चा
awareness,விழிப்புணர்வு,അവബോധം,అవగాహన,जागरूकता
surprising,ஆச்சரியம்,ആശ്ചര്യപ്പെടുത്തുന്നു,ఆశ్చర్యకరం,चौंका देने वाला
withdraw,திரும்பப் பெறுங்கள்,പിൻവലിക്കുക,ఉపసంహరించుకోండి,निकालना
deck,தளம்,ഡെക്ക്,డెక్,जहाज़ की छत
similarly,இதேபோல்,സമാനമായി,అదేవిధంగా,इसी तरह
newly,புதிதாக,പുതുതായി,కొత్తగా,नए नए
pole,கம்பம்,ധ്രുവം,పోల్,खंभा
testify,சாட்சியமளிக்கவும்,സാക്ഷ്യപ്പെടുത്തുക,సాక్ష్యం చెప్పండి,गवाही देना
mode,முறை,മോഡ്,మోడ్,तरीका
dialogue,உரையாடல்,ഡയലോഗ്,సంభాషణ,वार्ता
imply,குறிக்கும்,സൂചിപ്പിക്കുന്നത്,సూచిస్తుంది,मतलब
naturally,இயற்கையாகவே,സ്വാഭാവികമായും,సహజంగా,सहज रूप में
mutual,பரஸ்பர,പരസ്പരമുള്ള,పరస్పరం,आपसी
founder,நிறுவனர்,സ്ഥാപകൻ,స్థాపకుడు,संस्थापक
advanced,மேம்படுத்தபட்ட,മുന്നേറി,ఆధునిక,विकसित
pride,பெருமை,അഹംഭാവം,అహంకారం,गर्व
dismiss,பதவி நீக்கம்,പിരിച്ചുവിടുക,రద్దుచేసే,नकार देना
aircraft,விமானம்,വിമാനം,విమానాల,हवाई जहाज
delivery,விநியோகம்,ഡെലിവറി,డెలివరీ,वितरण
mainly,முக்கியமாக,പ്രധാനമായും,ప్రధానంగా,मुख्य रूप से
bake,சுட்டுக்கொள்ள,ചുടേണം,కాల్చండి,सेंकना
freeze,உறைய,മരവിപ്പിക്കുക,ఫ్రీజ్,जमाना
platform,நடைமேடை,പ്ലാറ്റ്ഫോം,వేదిక,प्लैटफ़ॉर्म
finance,நிதி,ധനകാര്യം,ఫైనాన్స్,वित्त
sink,மூழ்கும்,മുങ്ങുക,మునిగిపోతుంది,डूबना
attractive,கவர்ச்சிகரமான,ആകർഷകമായ,ఆకర్షణీయమైన,आकर्षक
diverse,பலதரப்பட்ட,വൈവിധ്യമാർന്ന,విభిన్న,विविध
relevant,தொடர்புடைய,പ്രസക്തമായ,సంబంధిత,उपयुक्त
ideal,ஏற்றதாக,അനുയോജ്യമായ,ఆదర్శవంతమైనది,आदर्श
joy,மகிழ்ச்சி,സന്തോഷം,ఆనందం,आनंद
regularly,தொடர்ந்து,പതിവായി,క్రమం తప్పకుండా,नियमित रूप से
working,வேலை,ജോലി ചെയ്യുന്നു,పని చేస్తున్నారు,कार्यरत
singer,பாடகர்,ഗായകൻ,గాయకుడు,गायक
evolve,பரிணமிக்கின்றன,പരിണമിക്കുക,పరిణామం చెందుతాయి,विकसित होना
shooting,படப்பிடிப்பு,ഷൂട്ടിംഗ്,షూటింగ్,शूटिंग
partly,ஓரளவு,ഭാഗികമായി,పాక్షికంగా,आंशिक रूप में
unknown,தெரியவில்லை,അജ്ഞാതം,తెలియని,अज्ञात
offense,குற்றம்,കുറ്റമായാണ്,నేరం,अपराध
counter,கவுண்டர்,കൗണ്ടർ,కౌంటర్,विरोध करना
DNA,டிஎன்ஏ,ഡിഎൻഎ,DNA,डीएनए
potentially,சாத்தியமான,സാധ്യതയുള്ള,సంభావ్యంగా,संभावित
thirty,முப்பது,മുപ്പത്,ముప్పై,तीस
justify,நியாயப்படுத்த,ന്യായീകരിക്കുക,న్యాయంచేయటానికి,औचित्य
protest,எதிர்ப்பு,പ്രതിഷേധം,నిరసన,विरोध
crash,விபத்து,തകര്ച്ച,క్రాష్,टकरा जाना
craft,கைவினை,ക്രാഫ്റ്റ്,క్రాఫ్ట్,शिल्प
treaty,ஒப்பந்தம்,ഉടമ്പടി,సంధి,संधि
terrorist,பயங்கரவாதி,തീവ്രവാദി,తీవ్రవాది,आतंकवादी
insight,நுண்ணறிவு,ഉൾക്കാഴ്ച,అంతర్దృష్టి,अंतर्दृष्टि
possess,உடையவை,കൈവശമാക്കുക,కలిగి ఉంటాయి,काबू करना
politically,அரசியல் ரீதியாக,രാഷ്ട്രീയമായി,రాజకీయంగా,राजनीतिक
tap,தட்டவும்,ടാപ്പ് ചെയ്യുക,నొక్కండి,नल
extensive,விரிவான,വിപുലമായ,విస్తృతమైన,व्यापक
episode,அத்தியாயம்,എപ്പിസോഡ്,ఎపిసోడ్,एपिसोड
swim,நீந்த,നീന്തുക,ఈత కొట్టండి,तैरना
tire,சக்கரம்,ടയർ,టైర్,थका देना
fault,தவறு,തെറ്റ്,తప్పు,गलती
loose,தளர்வான,അയഞ്ഞ,వదులుగా,ढीला
shortly,விரைவில்,ഉടൻ,త్వరలో,कुछ ही देर में
originally,முதலில்,യഥാർത്ഥത്തിൽ,అసలైన,मौलिक रूप से
considerable,கணிசமான,ഗണ്യമായ,గణనీయమైన,विचारणीय
prior,முன்,മുമ്പ്,ముందు,पूर्व
intellectual,அறிவுசார்,ബൗദ്ധിക,మేధావి,बौद्धिक
assault,தாக்குதல்,കയ്യേറ്റം നടത്തുക,దాడి,हमला
relax,ஓய்வெடுக்க,ശാന്തമാകൂ,విశ్రాంతి తీసుకోండి,आराम करना
stair,படிக்கட்டு,പടികൾ,మెట్లు,सीढ़ी
adventure,சாகசம்,സാഹസികത,సాహసం,साहसिक काम
external,வெளிப்புற,ബാഹ്യമായ,బాహ్య,बाहरी
proof,ஆதாரம்,തെളിവ്,రుజువు,सबूत
confident,நம்பிக்கை,ആത്മവിശ്വാസം,నమ్మకంగా,आत्मविश्वासी
headquarters,தலைமையகம்,ആസ്ഥാനം,ప్రధాన కార్యాలయం,मुख्यालय
sudden,திடீர்,പെട്ടെന്ന്,ఆకస్మికంగా,अचानक
dirty,அழுக்கு,അഴുക്കായ,మురికి,गंदा
violation,மீறல்,ലംഘനം,ఉల్లంఘన,उल्लंघन
tongue,நாக்கு,നാവ്,నాలుక,जीभ
license,உரிமம்,ലൈസൻസ്,లైసెన్స్,लाइसेंस
shelter,தங்குமிடம்,അഭയം,ఆశ్రయం,आश्रय
rub,தேய்க்க,തടവുക,రుద్దు,रगड़ना
controversy,சர்ச்சை,വിവാദം,వివాదం,विवाद
entrance,நுழைவாயில்,പ്രവേശനം,ప్రవేశ ద్వారం,प्रवेश द्वार
properly,ஒழுங்காக,ശരിയായി,సరిగ్గా,ठीक से
fade,மங்கிவிடும்,മങ്ങുന്നു,వాడిపోవు,फीका
defensive,தற்காப்பு,പ്രതിരോധം,రక్షణాత్మకమైన,बचाव
tragedy,சோகம்,ദുരന്തം,విషాదం,त्रासदी
net,நிகர,വല,నికర,जाल
characterize,குணாதிசயம்,സ്വഭാവം,వర్ణించు,चिह्नित करना
funeral,இறுதி சடங்கு,ശവസംസ്കാരം,అంత్యక్రియలు,अंतिम संस्कार
profession,தொழில்,തൊഴിൽ,వృత్తి,पेशा
alter,மாற்ற,മാറ്റുക,మార్చు,ऑल्टर
constitute,அமைக்க,രൂപീകരിക്കുക,ఏర్పాటు,गठित करना
establishment,நிறுவுதல்,സ്ഥാപനം,స్థాపన,स्थापना
squeeze,அழுத்து,ചൂഷണം ചെയ്യുക,పిండి వేయు,निचोड़
imagination,கற்பனை,ഭാവന,ఊహ,कल्पना
mask,முகமூடி,മുഖംമൂടി,ముసుగు,नकाब
convert,மாற்றவும்,മാറ്റുക,మార్చు,बदलना
comprehensive,விரிவான,സമഗ്രമായ,సమగ్రమైన,विस्तृत
prominent,முக்கிய,പ്രമുഖ,ప్రముఖ,प्रमुख
presentation,விளக்கக்காட்சி,അവതരണം,ప్రదర్శన,प्रस्तुति
regardless,பொருட்படுத்தாமல்,പരിഗണിക്കാതെ,సంబంధం లేకుండా,ध्यान दिए बगैर
load,சுமை,ലോഡ്,లోడ్,भार
stable,நிலையான,സ്ഥിരതയുള്ള,స్థిరమైన,स्थिर
introduction,அறிமுகம்,ആമുഖം,పరిచయం,परिचय
pretend,பாசாங்கு,നടിക്കുക,నటిస్తారు,बहाना करना
elderly,வயதானவர்கள்,പ്രായമായ,వృద్ధుడు,बुज़ुर्ग
representation,பிரதிநிதித்துவம்,പ്രാതിനിധ്യം,ప్రాతినిథ్యం,प्रतिनिधित्व
deer,மான்,മാൻ,జింక,हिरन
split,பிளவு,രണ്ടായി പിരിയുക,విడిపోయింది,विभाजित करना
violate,மீறுகின்றன,ലംഘിക്കുക,ఉల్లంఘించండి,का उल्लंघन
partnership,கூட்டு,പങ്കാളിത്തം,భాగస్వామ్యం,साझेदारी
pollution,மாசுபாடு,അശുദ്ധമാക്കല്,కాలుష్యం,प्रदूषण
emission,உமிழ்வு,ഉദ്വമനം,ఉద్గారము,उत्सर्जन
steady,நிலையான,സ്ഥിരമായ,స్థిరమైన,नियमित
vital,முக்கிய,സുപ്രധാനമായ,ప్రాణాధారమైన,अत्यावश्यक
fate,விதி,വിധി,విధి,भाग्य
earnings,வருவாய்,വരുമാനം,సంపాదన,आय
oven,சூளை,അടുപ്പ്,పొయ్యి,ओवन
distinction,வேறுபாடு,വ്യത്യാസം,భేదం,भेद
segment,பிரிவு,സെഗ്മെന്റ്,సెగ్మెంట్,खंड
nowhere,எங்கும் இல்லை,ഒരിടത്തുമില്ല,ఎక్కడా లేదు,कहीं भी नहीं
poet,கவிஞர்,കവി,కవి,कवि
mere,வெறும்,വെറും,కేవలం,मात्र
exciting,உற்சாகமான,ആവേശകരമായ,ఉత్తేజకరమైన,रोमांचक
variation,மாறுபாடு,വ്യതിയാനം,వైవిధ్యం,उतार-चढ़ाव
comfort,ஆறுதல்,ആശ്വാസം,సౌకర్యం,आराम
radical,தீவிரமான,സമൂലമായ,రాడికల్,मौलिक
adapt,ஏற்ப,പൊരുത്തപ്പെടുത്തുക,స్వీకరించు,अनुकूल बनाना
Irish,ஐரிஷ்,ഐറിഷ്,ఐరిష్,आयरिश
honey,தேன்,തേന്,తేనె,शहद
correspondent,நிருபர்,ലേഖകൻ,కరస్పాండెంట్,संवाददाता
pale,வெளிர்,വിളറിയ,లేత,फीका
musician,இசைக்கலைஞர்,സംഗീതജ്ഞൻ,సంగీతకారుడు,संगीतकार
significance,முக்கியத்துவம்,പ്രാധാന്യത്തെ,ప్రాముఖ్యత,महत्व
vessel,பாத்திரம்,പാത്രം,ఓడ,जहाज़
storage,சேமிப்பு,സംഭരണം,నిల్వ,भंडारण
flee,தப்பி ஓட,ഓടിപ്പോകുക,పారిపోవలసి,भाग जाना
mm-hmm,mm-hmm,mm-hmm,mm-hmm,मिमी-हम्म
leather,தோல்,തുകൽ,తోలు,चमड़ा
distribute,விநியோகிக்க,വിതരണം ചെയ്യുക,పంపిణీ,बांटो
evolution,பரிணாமம்,പരിണാമം,పరిణామం,विकास
ill,நோய்வாய்ப்பட்ட,അസുഖം,అనారోగ్యంతో,बीमार
tribe,பழங்குடி,ഗോത്രം,తెగ,जनजाति
shelf,அலமாரி,ഷെൽഫ്,షెల్ఫ్,दराज
grandfather,தாத்தா,മുത്തച്ഛൻ,తాతయ్య,दादा
lawn,புல்வெளி,പുൽത്തകിടി,పచ్చిక,घास का मैदान
buyer,வாங்குபவர்,വാങ്ങുന്നയാൾ,కొనుగోలుదారు,क्रेता
dining,சாப்பாடு,ഡൈനിംഗ്,భోజనం,भोजन
wisdom,ஞானம்,ജ്ഞാനം,జ్ఞానం,बुद्धि
council,சபை,കൗൺസിൽ,కౌన్సిల్,परिषद
vulnerable,பாதிக்கப்படக்கூடிய,ദുർബലമായ,దుర్బలమైన,असुरक्षित
instance,உதாரணம்,ഉദാഹരണം,ఉదాహరణ,उदाहरण
garlic,பூண்டு,വെളുത്തുള്ളി,వెల్లుల్లి,लहसुन
capability,திறன்,കഴിവ്,సామర్ధ్యం,क्षमता
poetry,கவிதை,കവിത,కవిత్వం,कविता
celebrity,பிரபலம்,സെലിബ്രിറ്റി,ప్రముఖ,प्रसिद्ध व्यक्ति
gradually,படிப்படியாக,ക്രമേണ,క్రమంగా,धीरे-धीरे
stability,ஸ்திரத்தன்மை,സ്ഥിരത,స్థిరత్వం,स्थिरता
fantasy,கற்பனை,ഫാന്റസി,ఫాంటసీ,कल्पना
scared,பயந்து,പേടിച്ചു,భయపడ్డాను,डरा हुआ
plot,சதி,തന്ത്രം,ప్లాట్లు,कथानक
framework,கட்டமைப்பு,ചട്ടക്കൂട്,ఫ్రేమ్వర్క్,रूपरेखा
gesture,சைகை,ആംഗ്യം,సంజ్ఞ,इशारा
depending,பொறுத்து,ആശ്രയിച്ചിരിക്കുന്നു,ఆధారపడి,निर्भर करता है
ongoing,நடந்து கொண்டிருக்கிறது,നടന്നുകൊണ്ടിരിക്കുന്നു,కొనసాగుతున్న,चल रहे
psychology,உளவியல்,മനഃശാസ്ത്രം,మనస్తత్వశాస్త్రం,मनोविज्ञान
counselor,ஆலோசகர்,ഉപദേഷ്ടാവ്,సలహాదారు,काउंसलर
chapter,அத்தியாயம்,അധ്യായം,అధ్యాయం,अध्याय
divorce,விவாகரத்து,വിവാഹമോചനം,విడాకులు,तलाक
owe,கடன்பட்டுள்ளது,കടപ്പെട്ടിരിക്കുന്നു,రుణపడి,ऋृणी होना
pipe,குழாய்,പൈപ്പ്,పైపు,पाइप
athletic,தடகள,അത്ലറ്റിക്,అథ్లెటిక్,पुष्ट
slight,லேசான,നേരിയ,స్వల్ప,थोड़ा
math,கணிதம்,കണക്ക്,గణితం,गणित
shade,நிழல்,തണല്,నీడ,छाया
tail,வால்,വാൽ,తోక,पूँछ
sustain,தக்கவைக்க,നിലനിർത്തുക,నిలబెట్టుకుంటారు,बनाए रखना
mount,ஏற்ற,മൗണ്ട്,మౌంట్,पर्वत
obligation,கடமை,ബാധ്യത,బాధ్యత,दायित्व
angle,கோணம்,കോൺ,కోణం,कोण
palm,பனை,ഈന്തപ്പന,అరచేతి,हथेली
differ,வேறுபடுகின்றன,വ്യത്യസ്തമാണ്,తేడా,अलग होना
custom,வழக்கம்,ആചാരം,ఆచారం,रिवाज़
economist,பொருளாதார நிபுணர்,സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,ఆర్థికవేత్త,अर्थशास्त्री
fifteen,பதினைந்து,പതിനഞ്ച്,పదిహేను,पंद्रह
soup,சூப்,സൂപ്പ്,చారు,शोरबा
celebration,கொண்டாட்டம்,ആഘോഷം,వేడుక,उत्सव
efficient,திறமையான,കാര്യക്ഷമമായ,సమర్థవంతమైన,कुशल
composition,கலவை,രചന,కూర్పు,संघटन
satisfy,திருப்தி,തൃപ്തിപ്പെടുത്തുക,సంతృప్తి,संतुष्ट
pile,குவியல்,മരത്തൂണ്,కుప్ప,ढेर
briefly,சுருக்கமாக,ചുരുക്കത്തിൽ,క్లుప్తంగా,संक्षिप्त
carbon,கார்பன்,കാർബൺ,కార్బన్,कार्बन
closer,நெருக்கமாக,അടുത്ത്,దగ్గరగా,करीब
consume,நுகரும்,ഉപഭോഗം ചെയ്യുക,వినియోగిస్తారు,उपभोग करना
scheme,திட்டம்,പദ്ധതി,పథకం,योजना
crack,விரிசல்,പിളര്പ്പ്,పగుళ్లు,दरार
frequency,அதிர்வெண்,ആവൃത്തി,తరచుదనం,आवृत्ति
tobacco,புகையிலை,പുകയില,పొగాకు,तंबाकू
survivor,உயிர் பிழைத்தவர்,അതിജീവിച്ചവൻ,ప్రాణాలతో బయటపడింది,उत्तरजीवी
besides,தவிர,കൂടാതെ,అంతేకాకుండా,अलावा
psychologist,உளவியலாளர்,മനശാസ്ത്രജ്ഞൻ,మనస్తత్వవేత్త,मनोविज्ञानी
wealthy,செல்வந்தர்,സമ്പന്നമായ,సంపన్నుడు,धनवान
galaxy,விண்மீன் மண்டலம்,ഗാലക്സി,గెలాక్సీ,GALAXY
given,கொடுக்கப்பட்டது,നൽകിയത്,ఇచ్చిన,दिया गया
ski,பனிச்சறுக்கு,സ്കീ,స్కీ,स्की
limitation,வரம்பு,പരിമിതപ്പെടുത്താതെ,పరిమితి,परिसीमन
trace,தடயம்,ട്രെയ്സ്,జాడ కనుగొను,पता लगाना
appointment,நியமனம்,നിയമനം,నియామకం,नियुक्ति
preference,விருப்பம்,മുൻഗണന,ప్రాధాన్యత,वरीयता
meter,மீட்டர்,മീറ്റർ,మీటర్,मीटर
explosion,வெடிப்பு,സ്ഫോടനം,పేలుడు,विस्फोट
publicly,பகிரங்கமாக,പരസ്യമായി,బహిరంగంగా,सार्वजनिक रूप
incredible,நம்பமுடியாத,അവിശ്വസനീയമായ,అపురూపమైన,अविश्वसनीय
fighter,போராளி,പോരാളി,యుద్ధ,योद्धा
rapid,விரைவான,അതിവേഗം,వేగవంతమైన,तेज़
admission,சேர்க்கை,പ്രവേശനം,ప్రవేశ o,प्रवेश
hunter,வேட்டைக்காரன்,വേട്ടക്കാരൻ,వేటగాడు,शिकारी
educate,கல்வி,അഭ്യസിപ്പിക്കുന്നത്,చదువు,शिक्षित
painful,வலி,വേദനാജനകമായ,బాధాకరమైన,दर्दनाक
friendship,நட்பு,സൗഹൃദം,స్నేహం,दोस्ती
aide,உதவியாளர்,സഹായി,సహాయకుడు,सहयोगी
infant,குழந்தை,ശിശു,శిశువు,शिशु
calculate,கணக்கிட,കണക്കാക്കുക,లెక్కించు,calculate
fifty,ஐம்பது,അമ്പത്,యాభై,पचास
rid,தவிர்ந்திடு,ഒഴിവാക്കുക,విమోచనం,छुटकारा दिलाना
porch,தாழ்வாரம்,പൂമുഖം,వాకిలి,बरामदा
tendency,போக்கு,പ്രവണത,ధోరణి,प्रवृत्ति
uniform,சீருடை,ഒരേപോലെ,ఏకరీతి,वर्दी
formation,உருவாக்கம்,രൂപീകരണം,ఏర్పాటు,गठन
scholarship,உதவித்தொகை,സ്കോളർഷിപ്പ്,స్కాలర్షిప్,छात्रवृत्ति
reservation,இட ஒதுக்கீடு,സംവരണം,రిజర్వేషన్,आरक्षण
efficiency,திறன்,കാര്യക്ഷമത,సమర్థత,क्षमता
qualify,தகுதி,യോഗ്യത നേടുക,అర్హత,अर्हता
mall,வணிக வளாகம்,മാൾ,మాల్,मॉल
derive,பெறுகின்றன,ഉരുത്തിരിഞ്ഞു,ఉత్పన్నం,निकाले जाते हैं
scandal,ஊழல்,കോഴ,కుంభకోణం,कांड
PC,பிசி,പി.സി,PC,पीसी
helpful,உதவிகரமாக,സഹായകരമാണ്,సహాయకారిగా,मददगार
impress,ஈர்க்க,മതിപ്പുളവാക്കുക,ఆకట్టుకుంటారు,छाप
heel,குதிகால்,കുതികാൽ,మడమ,एड़ी
resemble,ஒத்திருக்கின்றன,സാദൃശ്യം,పోలి ఉంటాయి,समान होना
privacy,தனியுரிமை,സ്വകാര്യത,గోప్యత,गोपनीयता
fabric,துணி,തുണികൊണ്ടുള്ള,బట్ట,कपड़ा
contest,போட்டி,മത്സരം,పోటీ,प्रतियोगिता
proportion,விகிதம்,അനുപാതം,నిష్పత్తి,अनुपात
guideline,வழிகாட்டுதல்,മാർഗരേഖ,మార్గదర్శకం,दिशानिर्देश
rifle,துப்பாக்கி,റൈഫിൾ,రైఫిల్,राइफल
maintenance,பராமரிப்பு,പരിപാലനം,నిర్వహణ,रखरखाव
conviction,நம்பிக்கை,ബോധ്യം,నేరారోపణ,दृढ़ विश्वास
trick,தந்திரம்,തന്ത്രം,ఉపాయం,चाल
organic,கரிம,ജൈവ,సేంద్రీయ,जैविक
tent,கூடாரம்,കൂടാരം,డేరా,तंबू
examination,பரிசோதனை,പരീക്ഷ,పరీక్ష,इंतिहान
publisher,பதிப்பகத்தார்,പ്രസാധകൻ,ప్రచురణకర్త,प्रकाशक
strengthen,வலுப்படுத்த,ശക്തിപ്പെടുത്തുക,బలపరుస్తాయి,को मजबूत
